Rank,Team
1,Str1ve eSports
2,Orion Esports
3,Str1ve Corp
3,Monarchy EC
5,100X35
5,OVERDOZEE
5,SPK x FLR
5,KIN EU
9,ELEPHANT
9,Yurei
9,ASTRA eSports
9,Phantom's
13,Reborn Xi
13,ΞØN Esports
13,wildcats
13,SCATTER.
17,Entropy
17,IGP™ Ultima Team
17,Majin Purple
17,PackMiko E-sports
17,noName
17,KlauzPool7
17,Overdozee CIS
17,Bilgewater
25,Black Rose
25,JBG - Jung Brutal Gutaussehend
