Rank,Team
1,OVERDOZEE
2,Kin
3,VOLARE
3,ASTRA
5,Team MOIRAI
5,wildcats
7,OVERDOZEE CIS
7,Drain Cats
9,PEKKA
9,Str1ve eSports
9,Flow Riders
9,barsik
