Rank,Team
1,Monarchy EC
2,100X35
3,Str1ve eSports
4,ORION ESPORTS
5,Str1ve Corp
5,VEX
7,EVOLV
7,Majin Purple
9,EON Esports
9,SPK x FLR
9,Karma
9,Dark Knights
13,YUREI
13,Savage
13,ELEPHANT
13,1COIN
17,Entropy
17,KIN
17,We Hate Crossing
17,wildcats
17,SPARTA
17,Jingshen
17,PackMiko
17,XTZ
25,NME
25,OVERDOZEE CIS
25,Drain Cats
25,Nova Strikers
25,IGP™ Ultima Team
25,Desert elders
25,FLOW RISING
25,Team Dardan
33,OVERDOZEE
33,ICE Gaming Group
33,Right Click
33,Cold Blooded
33,PEKKA
33,New Team
