Rank,Team
1,Str1ve eSports
2,ORION ESPORTS
3,PHANTOM S
4,100X35
5,YUREI
5,SPK x FLR
7,KIN
7,OVERDOZEE
9,Str1ve Corp
9,Savage
9,Monarchy EC
9,sybau eu dogs
13,ELEPHANT
13,Majin Purple
13,Krix
13,noName
17,4AM
17,ICE Gaming Group
17,wildcats
17,IGP™ Ultima Team
17,ASTRA eSports
17,Its Our Month
17,Jung-Brutal-Gutaussehend
17,Renascença
25,OVERDOZEE CIS
25,Reborn Xi
25,3R
25,Desert elders
25,Final Shape
25,Under Heaven
25,Playing-Ducks
25,SOLARIS
33,FLOW RISING
33,homixide
