Rank,Team
1,Classic V
2,Ice Gaming Group
3,Brussels JK
4,Fenix
5,Right Click
6,Guardian Owls
7,EON Esports
8,Pragma Clan
8,Brussels JK Academy
10,Ravens
10,HAZE
12,Project Corvus
13,EXOTIC
14,Savage
15,Aeterna Dragons
16,RXM
