Rank,Team
1,La Pasión
2,OVERDOZEE CIS
3,Nerdy guys
4,JUSTICE
5,Veni vidi vici
5,UDG
7,FLOW RISING
7,Pyzo esports
9,Savage
9,Serenity
9,Voidborn
9,Orpheus
13,SPARTA
13,ELEPHANT
13,Under Heaven
13,SerapH eSports
17,Sentinel
