League 1 Placement;Team Name:;;"League 2
Placement";Team Name:
1;EØN Esports;;1;Ravens
2;RXM;;2;Classic V
3;ICE.GG;;3;Fenix Esports
4;Guardian Owls;;4;Right Click
5;Savage;;5;Brussels JK U-19
6;HAZE;;6;Aeterna Dragons
7;Brussels JK;;7;Pragma Clan
8;Phantom Wolves;;8;Il Corvo
9;Minus Tempø;;9;Eclipse Wardens Alpha
10;Project Corvus;;10;EXOTIC
11;Avocado FC;;;
12;THE VOID;;;
