Rank,Team
1,Nova Strikers
2,FLOW RISING
3,FLY KITSUNE
4,ICE Gaming Group
5,Classic V
5,Majin Exode
7,La plèbe
7,EON II
9,Drain Cats
9,Fenix
9,UDG Vanguard
9,Incognito Esports
13,Nomade Esport
13,MKT NOVA
13,Old Stars
13,Reborn eSports
17,AXE
17,Eclipse Wardens Alpha
17,PKM
17,SPARTA
17,WHITE YOKAI
17,Desert elders
17,Nexus5 Esports
