Rank,Team
1,KIN EU
2,Majin Purple
3,Phantom's
3,The Chicks
5,OVERDOZEE
5,wildcats
5,Orion Esports
5,Monarchy EC
9,Str1ve Corp
9,SPK x FLR
9,Yurei
9,IGP™ Ultima Team
9,ASTRA eSports
9,ANGELS
9,PlayingDucksᴿᴹ
9,Reborn Xi - real
17,OVERDOZEE CIS
17,Reborn Xi
17,Savage
