Rank,Team,points,formula
1,KIN EU,100,1220.00
2,Majin Purple,80,976.00
3,Phantom's,65,793.00
3,The Chicks,65,793.00
5,OVERDOZEE,45,549.00
5,wildcats,45,549.00
5,Orion Esports,45,549.00
5,Monarchy EC,45,549.00
9,Str1ve Corp,25,305.00
9,SPK x FLR,25,305.00
9,Yurei,25,305.00
9,IGP™ Ultima Team,25,305.00
9,ASTRA eSports,25,305.00
9,ANGELS,25,305.00
9,PlayingDucksᴿᴹ,25,305.00
9,Reborn Xi - real,25,305.00
17,OVERDOZEE CIS,12,146.40
17,Reborn Xi,12,146.40
17,Savage,12,146.40
