Rank,Team,points,formula
1,La Pasión,100,100.00
2,OVERDOZEE CIS,80,80.00
3,Nerdy guys,65,65.00
4,JUSTICE,55,55.00
5,Veni vidi vici,45,45.00
5,UDG,45,45.00
7,FLOW RISING,35,35.00
7,Pyzo esports,35,35.00
9,Savage,25,25.00
9,Serenity,25,25.00
9,Voidborn,25,25.00
9,Orpheus,25,25.00
13,SPARTA,18,18.00
13,ELEPHANT,18,18.00
13,Under Heaven,18,18.00
13,SerapH eSports,18,18.00
17,Sentinel,12,12.00
