Rank,Team,points,formula
1,Monarchy EC,100,700.00
2,100X35,80,560.00
3,Str1ve eSports,65,455.00
4,ORION ESPORTS,55,385.00
5,Str1ve Corp,45,315.00
5,VEX,45,315.00
7,EVOLV,35,245.00
7,Majin Purple,35,245.00
9,EON Esports,25,175.00
9,SPK x FLR,25,175.00
9,Karma,25,175.00
9,Dark Knights,25,175.00
13,YUREI,18,126.00
13,Savage,18,126.00
13,ELEPHANT,18,126.00
13,1COIN,18,126.00
17,Entropy,12,84.00
17,KIN,12,84.00
17,We Hate Crossing,12,84.00
17,wildcats,12,84.00
17,SPARTA,12,84.00
17,Jingshen,12,84.00
17,PackMiko,12,84.00
17,XTZ,12,84.00
25,NME,8,56.00
25,OVERDOZEE CIS,8,56.00
25,Drain Cats,8,56.00
25,Nova Strikers,8,56.00
25,IGP™ Ultima Team,8,56.00
25,Desert elders,8,56.00
25,FLOW RISING,8,56.00
25,Team Dardan,8,56.00
33,OVERDOZEE,4,28.00
33,ICE Gaming Group,4,28.00
33,Right Click,4,28.00
33,Cold Blooded,4,28.00
33,PEKKA,4,28.00
33,New Team,4,28.00
