Rank,Team,points,formula
1,Team MOIRAI,100,1180.00
2,VOLARE,80,944.00
3,OVERDOZEE,65,767.00
3,Str1ve eSports,65,767.00
5,OVERDOZEE CIS,45,531.00
5,Kin,45,531.00
5,ORIGIN,45,531.00
5,wildcats,45,531.00
