Rank,Team,points,formula
1,Str1ve eSports,100,700.00
2,ORION ESPORTS,80,560.00
3,PHANTOM S,65,455.00
4,100X35,55,385.00
5,YUREI,45,315.00
5,SPK x FLR,45,315.00
7,KIN,35,245.00
7,OVERDOZEE,35,245.00
9,Str1ve Corp,25,175.00
9,Savage,25,175.00
9,Monarchy EC,25,175.00
9,sybau eu dogs,25,175.00
13,ELEPHANT,18,126.00
13,Majin Purple,18,126.00
13,Krix,18,126.00
13,noName,18,126.00
17,4AM,12,84.00
17,ICE Gaming Group,12,84.00
17,wildcats,12,84.00
17,IGP™ Ultima Team,12,84.00
17,ASTRA eSports,12,84.00
17,Its Our Month,12,84.00
17,Jung-Brutal-Gutaussehend,12,84.00
17,Renascença,12,84.00
25,OVERDOZEE CIS,8,56.00
25,Reborn Xi,8,56.00
25,3R,8,56.00
25,Desert elders,8,56.00
25,Final Shape,8,56.00
25,Under Heaven,8,56.00
25,Playing-Ducks,8,56.00
25,SOLARIS,8,56.00
33,FLOW RISING,4,28.00
33,homixide,4,28.00
