Rank,Team,points,formula
1,Classic V,100,100.00
2,Ice Gaming Group,80,80.00
3,Brussels JK,65,65.00
4,Fenix,55,55.00
5,Right Click,45,45.00
6,Guardian Owls,45,45.00
7,EON Esports,35,35.00
8,Pragma Clan,35,35.00
8,Brussels JK Academy,35,35.00
10,Ravens,25,25.00
10,HAZE,25,25.00
12,Project Corvus,25,25.00
13,EXOTIC,18,18.00
14,Savage,18,18.00
15,Aeterna Dragons,18,18.00
16,RXM,18,18.00
