Rank,Team,points,formula
1,OVERDOZEE,100,2000.00
2,Kin,80,1600.00
3,VOLARE,65,1300.00
3,ASTRA,65,1300.00
5,Team MOIRAI,45,900.00
5,wildcats,45,900.00
7,OVERDOZEE CIS,35,700.00
7,Drain Cats,35,700.00
9,PEKKA,25,500.00
9,Str1ve eSports,25,500.00
9,Flow Riders,25,500.00
9,barsik,25,500.00
