Rank,Team,points,formula
1,OVERDOZEE,100,700.00
2,ASTRA CIS,80,560.00
3,Str1ve eSports,65,455.00
4,OVERDOZEE CIS,55,385.00
5,TEAM MOIRAI,45,315.00
5,Flow Riders,45,315.00
7,Winzy,35,245.00
7,MOIRAI CIS,35,245.00
9,Zenith,25,175.00
9,Kin,25,175.00
9,Renascença,25,175.00
9,ASTRA,25,175.00
13,DSQ Esports,18,126.00
13,Haki,18,126.00
13,Exotic Raccoons,18,126.00
13,Madness,18,126.00
17,OverProdigy,12,84.00
17,Dark Impact,12,84.00
17,Dark Instinct,12,84.00
17,xanax,12,84.00
17,Blind Owls,12,84.00
17,Pride Warriors,12,84.00
17,EON,12,84.00
17,ORION ESPORTS,12,84.00
25,Zentrix Esports,8,56.00
25,AKI,8,56.00
25,mini PEKKA,8,56.00
25,barsik,8,56.00
25,Reborn Xi,8,56.00
25,Dark Impulse,8,56.00
25,FRAUDES,8,56.00
25,SOLID,8,56.00
33,AEDERN,4,28.00
33,OBLIVION,4,28.00
33,Velzar,4,28.00
33,DISCIPLINE,4,28.00
33,TENRYU,4,28.00
33,ICE Gaming Group,4,28.00
